id,image_path,label_path,gt_vendor,gt_date,gt_total,gt_date_raw,gt_total_raw,gt_total_numeric
X51005433492,data/sroie/raw/SROIE2019/train/img/X51005433492.jpg,data/sroie/raw/SROIE2019/train/entities/X51005433492.txt,UNIHAKKA INTERNATIONAL SDN BHD,2018-03-05,8.20,05 MAR 2018,$8.20,8.2
X51005433494,data/sroie/raw/SROIE2019/train/img/X51005433494.jpg,data/sroie/raw/SROIE2019/train/entities/X51005433494.txt,AEON CO. (M) BHD,2018-03-06,75.00,06/03/2018,75.00,75.0
X51005433514,data/sroie/raw/SROIE2019/train/img/X51005433514.jpg,data/sroie/raw/SROIE2019/train/entities/X51005433514.txt,UNIHAKKA INTERNATIONAL SDN BHD,2018-03-03,8.20,03 MAR 2018,$8.20,8.2
X51005433522,data/sroie/raw/SROIE2019/train/img/X51005433522.jpg,data/sroie/raw/SROIE2019/train/entities/X51005433522.txt,UNIHAKKA INTERNATIONAL SDN BHD,2018-03-10,,10 MAR 2018,,
X51005433533,data/sroie/raw/SROIE2019/train/img/X51005433533.jpg,data/sroie/raw/SROIE2019/train/entities/X51005433533.txt,PERNIAGAAN ZHENG HUI,2018-03-09,332.30,09/03/2018,332.30,332.3
X51005433538,data/sroie/raw/SROIE2019/train/img/X51005433538.jpg,data/sroie/raw/SROIE2019/train/entities/X51005433538.txt,UNIHAKKA INTERNATIONAL SDN BHD,2018-03-12,8.20,12 MAR 2018,$8.20,8.2
X51005433541,data/sroie/raw/SROIE2019/train/img/X51005433541.jpg,data/sroie/raw/SROIE2019/train/entities/X51005433541.txt,UNIHAKKA INTERNATIONAL SDN BHD,2018-03-14,8.20,14 MAR 2018,$8.20,8.2
X51005433552,data/sroie/raw/SROIE2019/train/img/X51005433552.jpg,data/sroie/raw/SROIE2019/train/entities/X51005433552.txt,WARAKUYA PERMAS CITY SDN BHD,2018-03-10,57.80,10/03/2018,57.80,57.8
X51005433553,data/sroie/raw/SROIE2019/train/img/X51005433553.jpg,data/sroie/raw/SROIE2019/train/entities/X51005433553.txt,YHM AEON TEBRAU CITY,2018-03-11,13.10,11/03/2018,13.10,13.1
X51005441398,data/sroie/raw/SROIE2019/train/img/X51005441398.jpg,data/sroie/raw/SROIE2019/train/entities/X51005441398.txt,OWNER BY CASTLE BLUE S/B,2018-03-30,189.75,30/03/2018,189.75,189.75
X51005441401,data/sroie/raw/SROIE2019/train/img/X51005441401.jpg,data/sroie/raw/SROIE2019/train/entities/X51005441401.txt,THREE STOOGES,2018-03-12,343.95,12/03/2018,343.95,343.95
X51005441402,data/sroie/raw/SROIE2019/train/img/X51005441402.jpg,data/sroie/raw/SROIE2019/train/entities/X51005441402.txt,THREE STOOGES,2018-03-03,174.90,03/03/2018,174.90,174.9
X51005441407,data/sroie/raw/SROIE2019/train/img/X51005441407.jpg,data/sroie/raw/SROIE2019/train/entities/X51005441407.txt,TASTE OF THE WORLD SDN BHD,,64.15,5/3/2018,64.15,64.15
X51005441408,data/sroie/raw/SROIE2019/train/img/X51005441408.jpg,data/sroie/raw/SROIE2019/train/entities/X51005441408.txt,32 PUB & BISTRO OWN BY CNU TRADING,2018-03-10,190.00,10-03-2018,190.00,190.0
X51005442327,data/sroie/raw/SROIE2019/train/img/X51005442327.jpg,data/sroie/raw/SROIE2019/train/entities/X51005442327.txt,UNIHAKKA INTERNATIONAL SDN BHD,2018-03-18,8.60,18 MAR 2018,$8.60,8.6
X51005442333,data/sroie/raw/SROIE2019/train/img/X51005442333.jpg,data/sroie/raw/SROIE2019/train/entities/X51005442333.txt,UNIHAKKA INTERNATIONAL SDN BHD,2018-03-27,6.90,27 MAR 2018,$6.90,6.9
X51005442338,data/sroie/raw/SROIE2019/train/img/X51005442338.jpg,data/sroie/raw/SROIE2019/train/entities/X51005442338.txt,PASAR MINI JIN SENG,2018-03-18,28.60,18/03/18,28.60,28.6
X51005442341,data/sroie/raw/SROIE2019/train/img/X51005442341.jpg,data/sroie/raw/SROIE2019/train/entities/X51005442341.txt,RESTAURANT SIN DU,2018-03-09,170.00,09/03/2018,170.00,170.0
X51005442344,data/sroie/raw/SROIE2019/train/img/X51005442344.jpg,data/sroie/raw/SROIE2019/train/entities/X51005442344.txt,YONG TAT HARDWARE TRADING,2018-03-13,100.90,13/03/2018,100.90,100.9
X51005442346,data/sroie/raw/SROIE2019/train/img/X51005442346.jpg,data/sroie/raw/SROIE2019/train/entities/X51005442346.txt,PERNIAGAAN ZHENG HUI,2018-03-15,8.00,15/03/2018,8.00,8.0
X51005442361,data/sroie/raw/SROIE2019/train/img/X51005442361.jpg,data/sroie/raw/SROIE2019/train/entities/X51005442361.txt,TIMELESS KITCHENETTE SDN BHD,2018-03-23,593.10,2018-03-23,593.10,593.1
X51005442376,data/sroie/raw/SROIE2019/train/img/X51005442376.jpg,data/sroie/raw/SROIE2019/train/entities/X51005442376.txt,UNIHAKKA INTERNATIONAL SDN BHD,2018-03-22,7.60,22 MAR 2018,$7.60,7.6
X51005442378,data/sroie/raw/SROIE2019/train/img/X51005442378.jpg,data/sroie/raw/SROIE2019/train/entities/X51005442378.txt,PAGOH REST AND SERVICE AREA,2018-03-23,10.00,23/03/2018,10.00,10.0
X51005442379,data/sroie/raw/SROIE2019/train/img/X51005442379.jpg,data/sroie/raw/SROIE2019/train/entities/X51005442379.txt,UNIHAKKA INTERNATIONAL SDN BHD,2018-03-24,9.20,24 MAR 2018,$9.20,9.2
X51005442383,data/sroie/raw/SROIE2019/train/img/X51005442383.jpg,data/sroie/raw/SROIE2019/train/entities/X51005442383.txt,CARREFOUR RESTAURANT,2018-03-20,13.80,20/03/2018,13.80,13.8
X51005442384,data/sroie/raw/SROIE2019/train/img/X51005442384.jpg,data/sroie/raw/SROIE2019/train/entities/X51005442384.txt,UNIHAKKA INTERNATIONAL SDN BHD,2018-03-19,8.20,19 MAR 2018,$8.20,8.2
X51005442386,data/sroie/raw/SROIE2019/train/img/X51005442386.jpg,data/sroie/raw/SROIE2019/train/entities/X51005442386.txt,UNIHAKKA INTERNATIONAL SDN BHD,2018-03-21,8.70,21 MAR 2018,$8.70,8.7
X51005442392,data/sroie/raw/SROIE2019/train/img/X51005442392.jpg,data/sroie/raw/SROIE2019/train/entities/X51005442392.txt,UNIHAKKA INTERNATIONAL SDN BHD,2018-03-29,7.10,29 MAR 2018,$7.10,7.1
X51005442394,data/sroie/raw/SROIE2019/train/img/X51005442394.jpg,data/sroie/raw/SROIE2019/train/entities/X51005442394.txt,UNIHAKKA INTERNATIONAL SDN BHD,2018-03-30,8.20,30 MAR 2018,$8.20,8.2
X51005442397,data/sroie/raw/SROIE2019/train/img/X51005442397.jpg,data/sroie/raw/SROIE2019/train/entities/X51005442397.txt,TRIPLE SIX POINT ENTERPRISE 666,2018-03-25,7.60,25-03-2018,7.60,7.6
X51005444033,data/sroie/raw/SROIE2019/train/img/X51005444033.jpg,data/sroie/raw/SROIE2019/train/entities/X51005444033.txt,BENS INDEPENDENT GROCER SDN. BHD,2018-03-12,77.20,12/03/18,77.20,77.2
X51005444037,data/sroie/raw/SROIE2019/train/img/X51005444037.jpg,data/sroie/raw/SROIE2019/train/entities/X51005444037.txt,NANDO'S CHICKENLAND MALAYSIA SDN BHD,2018-03-28,129.30,28 MAR 18,129.30,129.3
X51005444045,data/sroie/raw/SROIE2019/train/img/X51005444045.jpg,data/sroie/raw/SROIE2019/train/entities/X51005444045.txt,99 SPEED MART S/B,2018-03-19,11.40,19-03-18,11.40,11.4
X51005447832,data/sroie/raw/SROIE2019/train/img/X51005447832.jpg,data/sroie/raw/SROIE2019/train/entities/X51005447832.txt,PETRODELI ENTERPRISE,2018-02-26,85.54,26/02/18,85.54,85.54
X51005447833,data/sroie/raw/SROIE2019/train/img/X51005447833.jpg,data/sroie/raw/SROIE2019/train/entities/X51005447833.txt,SUN WONG KUT SDN BHD,2018-02-21,88.17,21/02/18,88.17,88.17
X51005447839,data/sroie/raw/SROIE2019/train/img/X51005447839.jpg,data/sroie/raw/SROIE2019/train/entities/X51005447839.txt,RESTAURANT JIAWEI JIAWEI HOUSE,,65.20,9/3/2018,65.20,65.2
X51005447840,data/sroie/raw/SROIE2019/train/img/X51005447840.jpg,data/sroie/raw/SROIE2019/train/entities/X51005447840.txt,PASARAYA BORONG PINTAR SDN BHD,2018-03-14,8.20,14/03/2018,8.20,8.2
X51005447848,data/sroie/raw/SROIE2019/train/img/X51005447848.jpg,data/sroie/raw/SROIE2019/train/entities/X51005447848.txt,LIAN CHI PU TIAN VEGETARIAN RESTAURANT SDN BHD,2018-01-06,53.55,06/01/18,53.55,53.55
X51005447850,data/sroie/raw/SROIE2019/train/img/X51005447850.jpg,data/sroie/raw/SROIE2019/train/entities/X51005447850.txt,PASARAYA BORONG PINTAR SDN BHD,,3.20,20180304,3.20,3.2
X51005447852,data/sroie/raw/SROIE2019/train/img/X51005447852.jpg,data/sroie/raw/SROIE2019/train/entities/X51005447852.txt,99 SPEED MART S/B,2018-02-20,9.90,20-02-18,9.90,9.9
X51005447853,data/sroie/raw/SROIE2019/train/img/X51005447853.jpg,data/sroie/raw/SROIE2019/train/entities/X51005447853.txt,99 SPEED MART S/B,2018-02-05,141.50,05-02-18,141.50,141.5
X51005447860,data/sroie/raw/SROIE2019/train/img/X51005447860.jpg,data/sroie/raw/SROIE2019/train/entities/X51005447860.txt,AEON CO. (M) BHD,2018-02-19,17.70,19/02/2018,17.70,17.7
X51005447861,data/sroie/raw/SROIE2019/train/img/X51005447861.jpg,data/sroie/raw/SROIE2019/train/entities/X51005447861.txt,POPULAR BOOK CO. (M) SDN BHD,2018-03-01,49.40,01/03/18,49.40,49.4
X51005453729,data/sroie/raw/SROIE2019/train/img/X51005453729.jpg,data/sroie/raw/SROIE2019/train/entities/X51005453729.txt,LIAN HING STATIONERY SDN BHD,2018-03-27,79.50,27/03/2018,79.50,79.5
X51005453801,data/sroie/raw/SROIE2019/train/img/X51005453801.jpg,data/sroie/raw/SROIE2019/train/entities/X51005453801.txt,GL HANDICRAFT & TAIL ORING,2018-03-20,102.00,20/03/2018,102.00,102.0
X51005453802,data/sroie/raw/SROIE2019/train/img/X51005453802.jpg,data/sroie/raw/SROIE2019/train/entities/X51005453802.txt,LIAN HING STATIONERY SDN BHD,2018-03-30,159.00,30/03/2018,159.00,159.0
X51005453804,data/sroie/raw/SROIE2019/train/img/X51005453804.jpg,data/sroie/raw/SROIE2019/train/entities/X51005453804.txt,LIAN HING STATIONERY SDN BHD,2018-03-27,12.00,27/03/2018,12.00,12.0
X51005568827,data/sroie/raw/SROIE2019/train/img/X51005568827.jpg,data/sroie/raw/SROIE2019/train/entities/X51005568827.txt,BANH MI CAFE SDN BHD,2017-10-29,23.25,29-10-2017,23.25,23.25
X51005568829,data/sroie/raw/SROIE2019/train/img/X51005568829.jpg,data/sroie/raw/SROIE2019/train/entities/X51005568829.txt,THAI DELICIOUS RESTAURANT,2017-02-02,92.80,02/02/2017,92.80,92.8
X51005568880,data/sroie/raw/SROIE2019/train/img/X51005568880.jpg,data/sroie/raw/SROIE2019/train/entities/X51005568880.txt,MR.D.I.Y(M)SDN BHD,2017-09-19,15.90,19-09-17,15.90,15.9
X51005568881,data/sroie/raw/SROIE2019/train/img/X51005568881.jpg,data/sroie/raw/SROIE2019/train/entities/X51005568881.txt,HON HWA HARDWARE TRADING,2017-09-21,10.40,21/09/2017,10.40,10.4
X51005568884,data/sroie/raw/SROIE2019/train/img/X51005568884.jpg,data/sroie/raw/SROIE2019/train/entities/X51005568884.txt,MR. D.I.Y. SDN BHD,2017-11-24,3.90,24-11-17,RM 3.90,3.9
X51005568891,data/sroie/raw/SROIE2019/train/img/X51005568891.jpg,data/sroie/raw/SROIE2019/train/entities/X51005568891.txt,HON HWA HARDWARE TRADING,2017-02-08,277.00,08/02/2017,277.00,277.0
X51005568898,data/sroie/raw/SROIE2019/train/img/X51005568898.jpg,data/sroie/raw/SROIE2019/train/entities/X51005568898.txt,VIVOPAC MARKETING SDN BHD,2017-05-30,18.80,30/05/2017,18.80,18.8
X51005568899,data/sroie/raw/SROIE2019/train/img/X51005568899.jpg,data/sroie/raw/SROIE2019/train/entities/X51005568899.txt,MR. D.I.Y. SDN BHD,2017-10-18,5.90,18-10-17,5.90,5.9
X51005568900,data/sroie/raw/SROIE2019/train/img/X51005568900.jpg,data/sroie/raw/SROIE2019/train/entities/X51005568900.txt,MR. D.I.Y. SDN BHD,2017-12-28,9.90,28-12-17,9.90,9.9
X51005568911,data/sroie/raw/SROIE2019/train/img/X51005568911.jpg,data/sroie/raw/SROIE2019/train/entities/X51005568911.txt,MR. D.I.Y. (KUCHAI) SDN BHD,2017-03-08,37.80,08-03-17,37.80,37.8
X51005568913,data/sroie/raw/SROIE2019/train/img/X51005568913.jpg,data/sroie/raw/SROIE2019/train/entities/X51005568913.txt,IKANO HANDEL SDN BHD,2017-07-27,538.00,27/07/17,538.00,538.0
X51005568914,data/sroie/raw/SROIE2019/train/img/X51005568914.jpg,data/sroie/raw/SROIE2019/train/entities/X51005568914.txt,IKANO HANDEL SDN BHD,2017-08-09,99.80,09/08/17,99.80,99.8
X51005577192,data/sroie/raw/SROIE2019/train/img/X51005577192.jpg,data/sroie/raw/SROIE2019/train/entities/X51005577192.txt,FY EAGLE ENTERPRISE,2017-12-04,7.00,04/12/2017,7.00,7.0
X51005587254,data/sroie/raw/SROIE2019/train/img/X51005587254.jpg,data/sroie/raw/SROIE2019/train/entities/X51005587254.txt,TRI SHAAS SDN BHD,2017-03-13,5.00,13/03/2017,5.00,5.0
X51005587267,data/sroie/raw/SROIE2019/train/img/X51005587267.jpg,data/sroie/raw/SROIE2019/train/entities/X51005587267.txt,TRI SHAAS SDN BHD,,85.10,4/02/2017,85.10,85.1
X51005605284,data/sroie/raw/SROIE2019/train/img/X51005605284.jpg,data/sroie/raw/SROIE2019/train/entities/X51005605284.txt,ADVANCO COMPANY,2018-03-23,83.00,23/03/2018,83.00,83.0
X51005605285,data/sroie/raw/SROIE2019/train/img/X51005605285.jpg,data/sroie/raw/SROIE2019/train/entities/X51005605285.txt,AEON CO. (M) BHD.,2018-03-22,5.90,22/03/2018,5.90,5.9
X51005605286,data/sroie/raw/SROIE2019/train/img/X51005605286.jpg,data/sroie/raw/SROIE2019/train/entities/X51005605286.txt,AEON CO. (M) BHD,2018-02-09,5.90,09/02/2018,5.90,5.9
X51005605333,data/sroie/raw/SROIE2019/train/img/X51005605333.jpg,data/sroie/raw/SROIE2019/train/entities/X51005605333.txt,POPULAR BOOK CO. (M) SDN BHD,2018-01-07,31.45,07/01/18,31.45,31.45
X51005605334,data/sroie/raw/SROIE2019/train/img/X51005605334.jpg,data/sroie/raw/SROIE2019/train/entities/X51005605334.txt,POPULAR BOOK CO. (M) SDN BHD,2018-03-29,9.65,29/03/18,9.65,9.65
X51005605335,data/sroie/raw/SROIE2019/train/img/X51005605335.jpg,data/sroie/raw/SROIE2019/train/entities/X51005605335.txt,POPULAR BOOK CO. (M) SDN BHD,2018-01-12,21.00,12/01/18,21.00,21.0
X51005663272,data/sroie/raw/SROIE2019/train/img/X51005663272.jpg,data/sroie/raw/SROIE2019/train/entities/X51005663272.txt,WAHIN HARDWARE SDN BHD,2017-12-04,42.40,04/12/17,42.40,42.4
X51005663273,data/sroie/raw/SROIE2019/train/img/X51005663273.jpg,data/sroie/raw/SROIE2019/train/entities/X51005663273.txt,SYARIKAT PERNIAGAAN GIN KEE,2017-12-04,47.70,04/12/2017,47.70,47.7
X51005663276,data/sroie/raw/SROIE2019/train/img/X51005663276.jpg,data/sroie/raw/SROIE2019/train/entities/X51005663276.txt,SYARIKAT PERNIAGAAN GIN KEE,2017-12-02,7.42,02/12/2017,7.42,7.42
X51005663277,data/sroie/raw/SROIE2019/train/img/X51005663277.jpg,data/sroie/raw/SROIE2019/train/entities/X51005663277.txt,SYARIKAT PERNIAGAAN GIN KEE,2017-12-02,29.68,02/12/2017,29.68,29.68
X51005663278,data/sroie/raw/SROIE2019/train/img/X51005663278.jpg,data/sroie/raw/SROIE2019/train/entities/X51005663278.txt,IKANO HANDEL SDN BHD,2017-12-23,73.30,23/12/17,73.30,73.3
X51005663279,data/sroie/raw/SROIE2019/train/img/X51005663279.jpg,data/sroie/raw/SROIE2019/train/entities/X51005663279.txt,SYARIKAT PERNIAGAAN GIN KEE,2017-12-28,148.40,28/12/2017,148.40,148.4
X51005663280,data/sroie/raw/SROIE2019/train/img/X51005663280.jpg,data/sroie/raw/SROIE2019/train/entities/X51005663280.txt,T.A.S LEISURE SDN BHD,2017-12-30,102.40,30 DEC 17,102.40,102.4
X51005663293,data/sroie/raw/SROIE2019/train/img/X51005663293.jpg,data/sroie/raw/SROIE2019/train/entities/X51005663293.txt,SWEET FOREST CAFE,2018-02-14,30.30,14-02-2018,30.30,30.3
X51005663297,data/sroie/raw/SROIE2019/train/img/X51005663297.jpg,data/sroie/raw/SROIE2019/train/entities/X51005663297.txt,BEYOND BROTHERS HARDWARE,2018-03-14,599.45,14/03/2018,599.45,599.45
X51005663298,data/sroie/raw/SROIE2019/train/img/X51005663298.jpg,data/sroie/raw/SROIE2019/train/entities/X51005663298.txt,ZAWIAJAYA FOOD N BEVERAGE SDN BHD,2018-03-21,48.15,21-03-2018,48.15,48.15
X51005663301,data/sroie/raw/SROIE2019/train/img/X51005663301.jpg,data/sroie/raw/SROIE2019/train/entities/X51005663301.txt,LIM SENG THO HARDWARE TRADING,2018-02-03,7.00,03/02/2018,7.00,7.0
X51005663311,data/sroie/raw/SROIE2019/train/img/X51005663311.jpg,data/sroie/raw/SROIE2019/train/entities/X51005663311.txt,LIM SENG THO HARDWARE TRADING,2018-02-09,7.00,09/02/2018,7.00,7.0
X51005663317,data/sroie/raw/SROIE2019/train/img/X51005663317.jpg,data/sroie/raw/SROIE2019/train/entities/X51005663317.txt,LIM SENG THO HARDWARE TRADING,2017-12-29,6.00,29/12/2017,6.00,6.0
X51005663324,data/sroie/raw/SROIE2019/train/img/X51005663324.jpg,data/sroie/raw/SROIE2019/train/entities/X51005663324.txt,SYARIKAT PERNIAGAAN GIN KEE,2017-12-28,465.34,28/12/2017,465.34,465.34
X51005675095,data/sroie/raw/SROIE2019/train/img/X51005675095.jpg,data/sroie/raw/SROIE2019/train/entities/X51005675095.txt,SUN VICTORY SDN BHD,2018-01-14,4.00,14/01/2018,RM4.00,4.0
X51005676536,data/sroie/raw/SROIE2019/train/img/X51005676536.jpg,data/sroie/raw/SROIE2019/train/entities/X51005676536.txt,SYARIKAT PERNIAGAAN GIN KEE,2018-01-02,93.07,02/01/2018,93.07,93.07
X51005676538,data/sroie/raw/SROIE2019/train/img/X51005676538.jpg,data/sroie/raw/SROIE2019/train/entities/X51005676538.txt,SYARIKAT PERNIAGAAN GIN KEE,2018-01-04,44.73,04/01/2018,44.73,44.73
X51005676539,data/sroie/raw/SROIE2019/train/img/X51005676539.jpg,data/sroie/raw/SROIE2019/train/entities/X51005676539.txt,SYARIKAT PERNIAGAAN GIN KEE,2018-01-10,23.32,10/01/2018,23.32,23.32
X51005676540,data/sroie/raw/SROIE2019/train/img/X51005676540.jpg,data/sroie/raw/SROIE2019/train/entities/X51005676540.txt,SYARIKAT PERNIAGAAN GIN KEE,2018-01-11,116.28,11/01/2018,116.28,116.28
X51005676541,data/sroie/raw/SROIE2019/train/img/X51005676541.jpg,data/sroie/raw/SROIE2019/train/entities/X51005676541.txt,SYARIKAT PERNIAGAAN GIN KEE,2018-01-03,94.87,03/01/2018,94.87,94.87
X51005676543,data/sroie/raw/SROIE2019/train/img/X51005676543.jpg,data/sroie/raw/SROIE2019/train/entities/X51005676543.txt,SYARIKAT PERNIAGAAN GIN KEE,2018-01-02,13.25,02/01/2018,13.25,13.25
X51005676544,data/sroie/raw/SROIE2019/train/img/X51005676544.jpg,data/sroie/raw/SROIE2019/train/entities/X51005676544.txt,SYARIKAT PERNIAGAAN GIN KEE,2018-01-02,2.12,02/01/2018,2.12,2.12
X51005676545,data/sroie/raw/SROIE2019/train/img/X51005676545.jpg,data/sroie/raw/SROIE2019/train/entities/X51005676545.txt,SYARIKAT PERNIAGAAN GIN KEE,2018-01-13,6.36,13/01/2018,6.36,6.36
X51005676546,data/sroie/raw/SROIE2019/train/img/X51005676546.jpg,data/sroie/raw/SROIE2019/train/entities/X51005676546.txt,SYARIKAT PERNIAGAAN GIN KEE,2018-01-11,21.20,11/01/2018,21.20,21.2
X51005676547,data/sroie/raw/SROIE2019/train/img/X51005676547.jpg,data/sroie/raw/SROIE2019/train/entities/X51005676547.txt,SYARIKAT PERNIAGAAN GIN KEE,2018-01-13,12.72,13/01/2018,12.72,12.72
X51005676549,data/sroie/raw/SROIE2019/train/img/X51005676549.jpg,data/sroie/raw/SROIE2019/train/entities/X51005676549.txt,SYARIKAT PERNIAGAAN GIN KEE,2018-01-02,39.75,02/01/2018,39.75,39.75
